Brand,Country
Mercedes-Benz,Germany
BMW,Germany
Audi,Germany
VW,Germany
Porsche,Germany
Opel,Germany
Smart,Germany
Alpina,Germany
MINI,UK
McLaren,UK
Jaguar,UK
Lotus,UK
MG,UK
Aston Martin,UK
Bentley,UK
Rolls-Royce,UK
Caterham,UK
Land Rover,UK
British Leyland,UK
Triumph,UK
Morgan,UK
Seat,Spain
Cupra,Spain
Ferrari,Italy
Fiat,Italy
Alfa Romeo,Italy
Lamborghini,Italy
Maserati,Italy
Abarth,Italy
Lancia,Italy
Ford,USA
Cadillac,USA
Chevrolet,USA
Tesla,USA
Dodge,USA
Chrysler,USA
Mercury,USA
Lincoln,USA
Pontiac,USA
Corvette,USA
Buick,USA
Oldsmobile,USA
Peugeot,France
Renault,France
Citroën,France
DS Automobiles,France
Ligier,France
Microcar,France
Hyundai,South Korea
KIA,South Korea
Mitsubishi,Japan
Toyota,Japan
Mazda,Japan
Honda,Japan
Nissan,Japan
Subaru,Japan
Suzuki,Japan
Infiniti,Japan
Lexus,Japan
Volvo,Sweden
Saab,Sweden
Polestar,Sweden
BYD,China
DFSK,China
KTM,Austria
Puch,Austria
Sonstige,Other
Talbot,Other
